Record_ID,Material_ID,DOI,Source_File,Support,Support_Type,Amine_1_or_Additive_1,Amine_Type,MW_Mn_g_mol,Organic_Content_pct,N_Content_mmol_g,Amine_2_or_Additive_2,Amine_2_or_Additive_2_Type,Amine_3_or_Additive_3,Amine_3_or_Additive_3_Type,BET_Bare_Surface_Area_m2_g,Bare_Pore_Volume_cm3_g,Average_Bare_Pore_Diameter_nm,BET_Surface_Area_m2_g,Pore_Volume_cm3_g,Average_Pore_Diameter_nm,Relative_Humidity_pct,CO2_Concentration,CO2_Concentration_vol_pct,Flow_Rate,Flow_Rate_mL_min,Interfering_Gases,Adsorption_Temperature_C,CO2_Test_Method,CO2_Capacity,CO2_Capacity_mmol_g,Amine_Efficiency,Amine_Efficiency_mmol_mmol,Heat_of_Adsorption_kJ_mol,Time_to_Half_Saturation,Time_to_90_Saturation,Kinetic_name,Kinetic_label,Kinetic_values,Kinetic_units,Kinetic_percent_saturation,Desorption_Gas,Desorption_Temperature_C,Desorption_Time,Weight_Loss_Stability_pct,Capacity_Loss_Stability_pct,Cycle_1_name,Cycle_1_label,Cycle_1_values,Cycle_1_units,Cycle_1_max_cycle,Cycle_2_name,Cycle_2_label,Cycle_2_values,Cycle_2_units,Cycle_2_max_cycle,Model_Name,Prompt_Name
MCM-48-W_PEI_37%_MCM-48-W_37%PEI_T50_BTC_15pctCO2_dry,MCM-48-W_PEI_37%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,37.0,8.604651162790699,CTAB,Additive,0,,533.0,0.31,3.4,3.0,0.01,13.333333333333334,0.0,15%,15.0,,,,50.0,BTC,1.54 mmol/g,1.54,,,,51.42857142857143,66.66666666666667,Fixed-Bed Breakthrough Testing,c/c₀,"[[0, 0.0], [20, 0.01], [30, 0.05], [40, 0.15], [50, 0.45], [60, 0.8], [70, 0.95], [75, 0.98], [80, 0.99], [140, 1.0]]","s, -","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_37%_MCM-48-W_37%PEI_T50_BTC_15pctCO2_humid,MCM-48-W_PEI_37%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,37.0,8.604651162790699,CTAB,Additive,0,,533.0,0.31,3.4,3.0,0.01,13.333333333333334,13.74,15%,15.0,,,,50.0,BTC,1.81 mmol/g,1.81,,,,74.0,85.0,Fixed-Bed Breakthrough Testing,c/c₀,"[[0, 0.0], [40, 0.0], [60, 0.05], [70, 0.3], [75, 0.55], [80, 0.75], [85, 0.9], [90, 0.97], [100, 1.0], [140, 1.0]]","s, -","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_37%_MCM-48-W_37%PEI_T50_BTC_15pctCO2_SO2,MCM-48-W_PEI_37%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,37.0,8.604651162790699,CTAB,Additive,0,,533.0,0.31,3.4,3.0,0.01,13.333333333333334,0.0,15%,15.0,,,SO2,50.0,BTC,1.20 mmol/g,1.2,,,,76.25,87.5,Fixed-Bed Breakthrough Testing,c/c₀,"[[0, 0.0], [40, 0.0], [60, 0.02], [70, 0.2], [75, 0.45], [80, 0.65], [85, 0.85], [90, 0.95], [100, 1.0], [140, 1.0]]","s, -","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-C_PEI_47%_MCM-48-C_47%PEI_T25_TGA_pureCO2,MCM-48-C_PEI_47%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,47.0,10.930232558139535,0,,0,,1039.0,0.82,3.7,,,,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.11 mmol/g,2.11,4.4 mmol CO2/g PEI,4.4,58.0,208.33333333333331,950.0000000000028,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [250, 106.0], [500, 107.8], [750, 108.6], [1000, 109.1], [1250, 109.4], [1500, 109.6], [2000, 109.8], [2500, 109.9], [3000, 110.0]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_46%_MCM-48-W_46%PEI_T25_TGA_pureCO2,MCM-48-W_PEI_46%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,46.0,10.697674418604652,CTAB,Additive,0,,533.0,0.31,3.4,,,,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.53 mmol/g,2.53,5.5 mmol CO2/g PEI,5.5,60.0,225.8064516129032,950.0000000000008,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [250, 106.2], [500, 108.5], [750, 109.6], [1000, 110.2], [1250, 110.6], [1500, 110.8], [2000, 111.0], [2500, 111.1], [3000, 111.2]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_TEPA_40%_G-10_40%TEPA__T25_TGA_dry_400ppmCO2_N2_100SCCM,G-10_TEPA_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,,,,0.0,400 ppmv,0.04,100 mL/min,100.0,,25.0,TGA,9.46 wt%,2.15,0.234 gCO2/gamine,0.532,,30.666666666666664,77.59999999999998,TG Curve/ CO2 adsorption profile,CO2 uptake (wt%),"[[0, 0.0], [12, 1.2], [24, 2.3], [36, 3.2], [48, 3.9], [60, 4.5], [72, 4.9], [84, 5.2], [96, 5.4], [108, 5.5], [120, 5.6]]","minutes, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_TEPA_40%_G-10_40%TEPA__T30_TGA_dry_400ppmCO2_N2_100SCCM,G-10_TEPA_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,,,,0.0,400 ppmv,0.04,100 mL/min,100.0,,30.0,TGA,9.65 wt%,2.193,0.247 gCO2/gamine,0.561,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_TEPA_40%_G-10_40%TEPA__T35_TGA_dry_400ppmCO2_N2_100SCCM,G-10_TEPA_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,,,,0.0,400 ppmv,0.04,100 mL/min,100.0,,35.0,TGA,9.83 wt%,2.234,0.246 gCO2/gamine,0.559,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_TEPA_40%_G-10_40%TEPA__T25_BTC_dry_400ppmCO2_N2_1SLPM,G-10_TEPA_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,,,,0.0,400 ppmv,0.04,1000 mL/min,1000.0,,25.0,BTC,,,,,,13.0,51.0,Fixed-Bed Breakthrough Testing,Effluent CO2 Concentration (ppmv),"[[0, 0], [5, 5], [10, 15], [15, 45], [20, 120], [25, 200], [30, 260], [35, 300], [40, 325], [45, 340], [50, 350], [55, 355], [60, 360], [65, 365], [70, 370], [75, 375], [80, 380], [85, 385], [90, 390]]","Minutes, ppmv","['13 min', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_TEPA_40%_G-10_40%TEPA__T25_TGA_cyclic_50cycles_dry_400ppmCO2_N2_100SCCM,G-10_TEPA_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,,,,0.0,400 ppmv,0.04,100 mL/min,100.0,,25.0,TGA,,,,,,,,,,,,,N2,100.0,15.0,55.0,29.0,Cyclic CO2 profile,CO2 Uptake (wt. %),"[[1, 5.64], [5, 5.62], [10, 5.6], [15, 5.58], [20, 5.56], [25, 5.54], [30, 5.52], [35, 5.48], [40, 5.42], [45, 5.34], [50, 3.99]]",wt. %,50.0,Weight/mass profile,Mass Change %,"[[0, 5.0], [1200, -10.0], [2400, -15.0], [3600, -17.5], [4800, -19.0], [6000, -20.0], [7200, -20.8], [8400, -21.5], [9000, -22.0], [9600, -22.2]]","minutes, %",9600.0,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T25_TGA_dry_400ppmCO2_N2_100SCCM,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,0.0,400 ppmv,0.04,100 mL/min,100.0,,25.0,TGA,6.79 wt%,1.543,0.170 gCO2/gamine,0.386,,40.0,93.33333333333334,TG Curve/ CO2 adsorption profile,CO2 uptake (wt%),"[[0, 0.0], [20, 1.6], [40, 3.0], [60, 4.2], [80, 5.0], [100, 5.6], [120, 6.0]]","minutes, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T30_TGA_dry_400ppmCO2_N2_100SCCM,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,0.0,400 ppmv,0.04,100 mL/min,100.0,,30.0,TGA,7.18 wt%,1.632,0.182 gCO2/gamine,0.414,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T35_TGA_dry_400ppmCO2_N2_100SCCM,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,0.0,400 ppmv,0.04,100 mL/min,100.0,,35.0,TGA,7.45 wt%,1.693,0.189 gCO2/gamine,0.43,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T25_BTC_dry_400ppmCO2_N2_1SLPM,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,0.0,400 ppmv,0.04,1000 mL/min,1000.0,,25.0,BTC,,,,,,4.0,55.25,Fixed-Bed Breakthrough Testing,Effluent CO2 Concentration (ppmv),"[[0, 0], [5, 2], [10, 8], [15, 30], [20, 100], [25, 180], [30, 240], [35, 280], [40, 310], [45, 330], [50, 345], [55, 355], [60, 365], [65, 370], [70, 375], [75, 380], [80, 385], [85, 390], [90, 395]]","Minutes, ppmv","['4 min', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T25_BTC_humid_400ppmCO2_N2_1SLPM_RH92.5%,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,92.5,400 ppmv,0.04,1000 mL/min,1000.0,,25.0,BTC,,,,,,15.0,60.75,Fixed-Bed Breakthrough Testing,Effluent CO2 Concentration (ppmv),"[[0, 0], [5, 2], [10, 10], [15, 40], [20, 100], [25, 180], [30, 250], [40, 300], [60, 350], [90, 390]]","Minutes, ppmv","['15 min', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
G-10_PEI-600_40%_G-10_40%PEI-600__T25_TGA_cyclic_50cycles_dry_400ppmCO2_N2_100SCCM,G-10_PEI-600_40%,-,002.pdf-id_comprehensive_extraction.json,G-10,Porous Silica Materials,PEI-600,Polymeric Amines,600.0,40.0,9.30232558139535,0,,0,,270.0,1.39,20.4,65.0,0.44,27.076923076923077,0.0,400 ppmv,0.04,100 mL/min,100.0,,25.0,TGA,,,,,,,,,,,,,N2,100.0,15.0,1.35,0.8,Cyclic CO2 profile,CO2 Uptake (wt. %),"[[1, 5.2], [2, 5.2], [3, 5.2], [4, 5.2], [5, 5.2], [10, 5.2], [20, 5.2], [30, 5.2], [40, 5.2], [50, 5.16]]",wt. %,50.0,Weight/mass profile,Mass Change %,"[[0, 5.0], [120, 0.0], [135, 0.0], [255, 5.0], [375, 0.0], [390, 0.0], [510, 5.0], [630, 0.0], [645, 0.0], [765, 5.0]]","minutes, %",765.0,qwen3-max,DAC_prompt_SCaSE
M4_AM-TEPA_50%_M4_50%AM-TEPA__T25_BTC_pureCO2,M4_AM-TEPA_50%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,AM-TEPA,Small-Molecule Polyamines,189.3,48.92,11.376744186046512,0,,0,,451.5,0.54,4.75,4.94,0.0375,2.85,0.0,100 vol%,100.0,80 mL/min,80.0,,25.0,BTC,128.8 mg/g,2.93,0.22 mmol/mmol,0.22,,3.1071428571428594,9.050000000000004,Fixed-Bed Breakthrough Testing,Weight (%),"[[0, 100.0], [2, 104.8], [5, 109.0], [10, 112.0], [15, 112.6], [20, 112.7], [30, 112.7], [40, 112.7], [50, 112.7], [60, 112.7]]","min, %","['-', '-']",AIR,100.0,2.0,,0.8,Cyclic CO2 profile,Adsorption capacity (mg g⁻¹),"[[1, 128.8], [2, 128.5], [3, 128.3], [4, 128.2], [5, 128.1], [6, 128.0], [7, 128.0], [8, 128.0], [9, 127.9], [10, 127.9], [11, 127.8], [12, 127.8]]",mg/g,12.0,,,,,,qwen3-max,DAC_prompt_SCaSE
M4_AM-TEPA_50%_M4_50%AM-TEPA__T55_BTC_pureCO2,M4_AM-TEPA_50%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,AM-TEPA,Small-Molecule Polyamines,189.3,48.92,11.376744186046512,0,,0,,451.5,0.54,4.75,4.94,0.0375,2.85,0.0,100 vol%,100.0,80 mL/min,80.0,,55.0,BTC,134.7 mg/g,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
M4_AM-TEPA_60%_M4_60%AM-TEPA__T25_BTC_pureCO2,M4_AM-TEPA_60%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,AM-TEPA,Small-Molecule Polyamines,189.3,60.0,13.953488372093023,0,,0,,451.5,0.54,4.75,4.94,0.0375,2.85,0.0,100 vol%,100.0,80 mL/min,80.0,,25.0,BTC,159.1 mg/g,3.62,,,,3.011627906976741,9.116666666666664,Fixed-Bed Breakthrough Testing,Weight (%),"[[0, 100.0], [2, 105.2], [5, 109.5], [10, 112.5], [15, 113.0], [20, 113.2], [30, 113.3], [40, 113.3], [50, 113.3], [60, 113.3]]","min, %","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
M4_AM-TEPA_40%_M4_40%AM-TEPA__T25_BTC_pureCO2,M4_AM-TEPA_40%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,AM-TEPA,Small-Molecule Polyamines,189.3,40.0,9.30232558139535,0,,0,,451.5,0.54,4.75,4.94,0.0375,2.85,0.0,100 vol%,100.0,80 mL/min,80.0,,25.0,BTC,108.0 mg/g,2.46,,,,3.5405405405405386,9.61111111111111,Fixed-Bed Breakthrough Testing,Weight (%),"[[0, 100.0], [2, 104.5], [5, 108.2], [10, 111.8], [15, 112.5], [20, 112.7], [30, 112.8], [40, 112.8], [50, 112.8], [60, 112.8]]","min, %","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
M4_AM-TEPA_70%_M4_70%AM-TEPA__T25_BTC_pureCO2,M4_AM-TEPA_70%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,AM-TEPA,Small-Molecule Polyamines,189.3,70.0,16.27906976744186,0,,0,,451.5,0.54,4.75,4.94,0.0375,2.85,0.0,100 vol%,100.0,80 mL/min,80.0,,25.0,BTC,120.4 mg/g,2.74,,,,3.6999999999999984,14.966666666666647,Fixed-Bed Breakthrough Testing,Weight (%),"[[0, 100.0], [2, 105.5], [5, 110.0], [10, 113.0], [15, 114.5], [20, 115.5], [30, 116.0], [40, 116.1], [50, 116.1], [60, 116.1]]","min, %","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
M4_TEPA_50%_M4_50%TEPA__T25_BTC_pureCO2,M4_TEPA_50%,10.1021/ie300234k,003.pdf-id_comprehensive_extraction.json,M4,Porous Silica Materials,TEPA,Small-Molecule Polyamines,189.3,49.68,11.553488372093023,0,,0,,451.5,0.54,4.75,,,,0.0,100 vol%,100.0,80 mL/min,80.0,,25.0,BTC,193.8 mg/g,4.4,0.33 mmol/mmol,0.33,,1.584,7.377777777777778,Fixed-Bed Breakthrough Testing,Weight (%),"[[0, 100.0], [2, 112.5], [4, 115.8], [6, 117.2], [8, 118.1], [10, 118.7], [15, 119.2], [20, 119.5], [30, 119.7], [60, 119.8]]","min, %","['-', '-']",AIR,100.0,2.0,,48.2,Cyclic CO2 profile,Adsorption capacity (mg g⁻¹),"[[1, 193.8], [2, 180.0], [3, 165.0], [4, 140.0], [5, 100.3], [6, 100.3], [7, 100.3], [8, 100.3], [9, 100.3], [10, 100.3], [11, 100.3], [12, 100.3]]",mg/g,12.0,,,,,,qwen3-max,DAC_prompt_SCaSE
